SOC,company_name,job_title,senority_level,location,zip_code,employment_type,max_salary,listed_time
11-1021,ACS Cloud Partners,Support Manager - East Coast,,United States,,Full-time,,1710873480000
13-1131,Child Saving Institute,Donor Engagement Coordinator,,"Omaha, NE",68102,Full-time,75000,1713554567000
15-1252,Stanley David and Associates,AS400 Developer,,"Pittsburgh, PA",15201,Full-time,,1713476600000
15-1212,SoftNice,IAM Security Specialist,,"Nyack, NY",10960,Contract,,1713277428000
13-1121,,Marketing & Events Intern,,"Nashville, TN",37201,Part-time,,1713463435000
13-1071,Seaga,Human Resources Generalist,Associate,"Freeport, IL",61032,Full-time,,1713206914000
23-1011,Global Law Advocates PLLC,Associate Immigration Attorney,,"Seattle, WA",98101,Full-time,100000,1713470090000
53-3033,Cox Automotive Inc.,Part Time Driver (Manheim),Entry level,"Shakopee, MN",55379,Part-time,,1710905450000
11-2022,Kastech Software Solutions Group,Business Development Manager,,"Austin, Texas Metropolitan Area",,Full-time,,1712345698000
11-9111,Ashe Memorial Hospital,Revenue Cycle and Reimbursement Director,,"Jefferson, NC",28640,Full-time,,1713460460000
43-4171,The Doctors of Physical Therapy,Front Office Specialist,,"Scottsdale, AZ",85250,Full-time,22,1713462385000
11-1021,Houston Apartment Association,Member Services Manager,,"Houston, TX",77002,Full-time,,1713533268000
11-2021,Swipeclock,Product Manager,,"South Jordan, UT",84009,Full-time,120000,1713541082000
41-3091,,Client Relationship Manager,,"Puyallup, WA",98371,Full-time,,1713554530000
27-3042,"ExcelGens, Inc.",Technical Writer,,"Chicago, IL",60601,Contract,,1713279736000
13-2052,The World Changers,Financial Professional,,United States,,Contract,,1713469525000
11-9021,Syblon Reid,Construction Superintendent,,"Lewiston, ID",83501,Full-time,150,1710972058000
43-6014,Rina Yoga,Administrative Assistant Intern,,"Los Angeles, CA",90001,Internship,,1710978767000
13-2072,,Senior Mortgage Loan Officer,,United States,,Full-time,,1713534672000
13-1051,Unidor Consulting,Construction Estimator,,"Washington, DC",20001,Full-time,,1713277888000
13-1151,,Learning Experience Designer/Developer II,,"Brea, CA",92821,Full-time,,1713467524000
11-2021,Big Brothers Big Sisters of Broward,DIRECTOR OF MARKETING,,"Fort Lauderdale, FL",33301,Full-time,75000,1713449548000
13-1082,New Mexico Courts,AOC Human Resources Project Manager,,"Santa Fe, NM",87501,Full-time,79040,1713208074000
49-9071,"MCP USA, Inc.",Maintenance Technician - Night Shift,,"Portage, IN",46368,Full-time,41,1713452413000
11-2022,GNGR Labs,Territory Sales Manager,,New York City Metropolitan Area,,Contract,,1713211164000
11-3012,CareOne,Business Office Manager,Mid-Senior level,"Lexington, MA",02420,Full-time,,1710720000000
15-1254,Siri InfoSolutions Inc,Webmethods Developer,,"Cleveland, OH",44102,Full-time,,1713453595000
29-1128,"Houston Cancer Institute, PA",Exercise Physiologist,,"Houston, TX",77002,Part-time,,1712350365000
15-1299,iPivot,AWS Cloud Architect (W2 Only),,"New York, NY",10001,Contract,,1713451124000
15-1253,Qentelli,Software Engineer in Test Automation,,"Dallas, TX",75201,Full-time,,1713213727000
13-1082,CONTRI CONSTRUCTION COMPANY,Project Manager,,"Las Vegas, NV",89101,Full-time,,1711054968000
13-1082,Conquer Employment,Technical Planner,Associate,"Terrell, TX",75160,Full-time,28,1712350102000
29-1141,,Lactation Consultant,,"Columbia, MO",65201,Full-time,,1713452089000
15-1252,Joinrs US,Junior Engineer - [Full Remote],,United States,,Full-time,,1712665167000
17-2112,Halifax Fan Group,Manufacturing and Test Engineer,,"Syracuse, NY",13202,Full-time,,1713556339000
19-3051,Inno-Pak,Master Planner,,"Delaware, OH",43015,Full-time,,1713471321000
13-2011,Synergy Consultants & CPAs,Senior Accountant,,"Virginia, United States",,Contract,,1712861207000
41-3021,Everise,Licensed Healthcare Insurance Agent - Work from Home,,United States,,Full-time,,1713549765000
15-1299,Peak Solutions,MSP Engineer Level 3,,"Newport Beach, CA",92660,Full-time,130000,1713550008000
11-1021,Chick-fil-A Restaurants,General Manager,,"Dallasâ€“Fort Worth metroplex, TX",75201,Full-time,,1713552487000
11-3051,Whitaker Technical,Senior Materials Manager,Mid-Senior level,Little Rock Metropolitan Area,,Full-time,,1712866608000
11-9051,Little Giant Farmer's Market,Meat Manager,,"Decatur, GA",30030,Full-time,60000,1713280995000
13-2052,Northwestern Mutual,Financial Advisor,,"Charleston County, SC",29401,Full-time,,1713459707000
41-3011,Best Version Media,Media Sales Executive,,"Robbinsville, NJ",08691,Contract,100000,1713464756000
53-7062,Steelcase,"SPS-02 Shipping (Non-Fork Lift) - Glendale, AZ",Entry level,"Glendale, AZ",85301,Part-time,24,1710720000000
41-3091,Ryan RPO (Recruitment Process Outsourcing),Remote Business Development Associate,,"Florida, United States",,Contract,10000,1713485036000
27-3031,Christian Cowan,"Public Relations Intern, Summer 2024",,New York City Metropolitan Area,,Internship,,1713475827000
41-3091,One Step Software,Account Executive,,"New York, NY",10001,Full-time,,1711214211000
15-1299,Webologix Ltd/ INC,Azure Tech Lead,Mid-Senior level,United States,,Full-time,,1713470628000
21-1012,Hope Inspired Ministries (HIM),Life Coach - Birmingham Campus,,"Birmingham, AL",35203,Full-time,,1713535364000
41-3091,Worldwide Publishers LLC USA,"100% commission Marketers for TV Doc ""The 40 Parables""",,United States,,Contract,,1713404614000
29-1292,,Registered Dental Hygienist,,"Marlborough, MA",01752,Part-time,,1712855670000
15-1244,MicroAgility,Senior Windows System Administrator,,"Jersey City, NJ",07302,Full-time,,1713471901000
29-1216,,Medical Doctor,,"California, United States",,Part-time,275,1711042371000
11-2021,THE WELL,Marketing Manager,,New York City Metropolitan Area,,Full-time,85000,1713210757000
17-3024,Web3 Recruit,Automation Specialist,,United States,,Full-time,,1712863492000
29-2012,Pioneers Medical Center,Medical Laboratory Technician,,"Meeker, CO",81641,Full-time,,1712864213000
41-4011,Network Craze Technologies,Tech Sales Associate,,"Port Charlotte, FL",33948,Full-time,,1712856514000
41-3021,Everise,Licensed Health Insurance Agent- Work from Home,,United States,,Full-time,,1712861488000
11-2022,Burton Energy Group,Account Manager,,"Alpharetta, GA",30004,Full-time,,1711111088000
41-2031,IKEA,Retail Sales Associate - Self Serve,,"Grand Prairie, TX",75050,Part-time,,1713278013000
21-1093,"Triple C Housing, Inc.",Community Support Specialist,,"North Brunswick, NJ",08902,Full-time,,1713449695000
29-1127,IICA Speech,Speech Language Pathologist,,"Roseville, CA",95661,Full-time,105000,1713565995000
43-4051,,Inside Sales/Customer Service,,Dallas-Fort Worth Metroplex,,Full-time,,1713450825000
19-5011,Willamette University,Associate Director of Campus Safety,,"Portland, Oregon Metropolitan Area",,Full-time,,1713408603000
13-1082,,Senior Design Engineer/Project Manager,,"Warren, NJ",07059,Full-time,,1713531757000
43-4051,RumbleUp: Powerful Political Texting,"Client Support Specialist, Weekend Full-Time",,"Salt Lake City, UT",84101,Full-time,22,1712861210000
41-3091,The Matic Studio,Business Development Specialist,,"California, United States",,Contract,,1712666949000
43-4051,North End Teleservices LLC,Tier One Customer Service Representative,,"Omaha, NE",68102,Full-time,,1713448948000
15-1299,Diamondpick,.Net Azure Architect (Local to WA),,"Seattle, WA",98101,Contract,,1713473965000
29-1141,Lakeside Pediatrics and Adolescent Medicine ,Phone Triage (RN or LPN),,"Coeur d'Alene, ID",83814,Full-time,,1713556263000
43-3031,Brava! for Women in the Arts,Bookkeeper,,"California, United States",,Part-time,70,1712374952000
27-1024,Puffer Labs,Graphic Designer,,United States,,Full-time,150000,1713495216000
13-1082,Bright Vision Technologies,Sr. Project Engineer,,United States,,Full-time,,1713209301000
15-1299,NR Consulting,SAP FICO â€“ AMS Consultant,,"Scottsdale, AZ",85250,Full-time,70,1713475527000
21-1012,Health And Style Institute,Admissions Representative,,"Kennesaw, GA",30144,Full-time,,1713276848000
27-1024,Coalition Technologies,Graphic Designer,,United States,,Full-time,,1712861058000
23-1011,,Associate Attorney,,"Costa Mesa, CA",92626,Full-time,110000,1713210993000
29-2012,Brillouin Energy,Laboratory Technician,,"Berkeley, CA",94702,Full-time,55,1713213925000
15-1252,Budgetwise,Android Developer Intern (Unpaid),,United States,,Internship,,1713570270000
13-1022,EmazingGroup - INTO THE AM & iHeartRaves,Merchandise Planner,,"Anaheim, CA",92801,Full-time,75000,1713403951000
13-2052,"Horizons Sustainable Financial Services, Inc.",Investor Service & Financial Planning Associate,,"Santa Fe, NM",87501,Full-time,,1713555425000
11-2033,Jamestown Community Center,Development Director,,"San Francisco, CA",94101,Full-time,110000,1712865198000
41-9021,Lee & Associates Greenville / Spartanburg,Commercial Real Estate Broker,,"Greenville-Spartanburg-Anderson, South Carolina Area",,Full-time,,1713455115000
11-2032,World of Reza,Head of Client Relations,,New York City Metropolitan Area,,Full-time,110000,1712347542000
43-4051,Comcast,Customer Service Representative 1 (Promo Roll),Associate,"Pennsylvania, United States",,Full-time,,1711409164000
15-1252,NLB Services,Machine Learning Engineer,,"Dallas, TX",75201,Full-time,,1712669525000
15-1232,Ritz Safety,â€¢	Tier I Help Desk associate,,"Dayton, OH",45400,Full-time,,1711551070000
13-1161,"International Citizens Group, Inc.",Head of Content / Search Engine Optimization Copywriter,,United States,,Full-time,,1713537363000
21-1099,HOPE Tutoring ,Community Engagement Coordinator,,"Arlington, TX",76001,Part-time,,1712430074000
11-2021,Reolink,Marketing Manager,,Los Angeles Metropolitan Area,,Full-time,,1712644565000
19-3051,LSI ,Land Use Planner / Entitlements Director,,"Austin, Texas Metropolitan Area",,Full-time,,1713391249000
15-2051,Radiant Systems Inc,eCommerce Data Analyst,,United States,,Contract,,1713277624000
11-2021,Elucidata,Senior Product Marketing Manager,,"Boston, MA",02108,Full-time,,1713276751000
37-2011,,Cleaning Personnel,,"Lagrange, OH",44050,Contract,,1713280247000
15-1252,Teamware Solutions a division of Quantum Leap Consulting Pvt. Ltd,RE: Urgent hiring for Workday Prism Developer,,"Plano, TX",75023,Contract,,1713539668000
13-1051,"Cooper Oates Air Conditioning, Inc.",Senior Commercial HVAC Estimator,,"Sacramento, CA",95811,Full-time,120000,1713280681000
11-9111,Biological Sciences Division at the University of Chicago,Clinical Revenue Supervisor,Mid-Senior level,"Chicago, IL",60601,Full-time,,1713476547000
11-3012,Huck's Food and Fuel,Office Price Book Administrator,Associate,"White County, IL",,Full-time,,1713469925000
29-1141,Cape Fear Valley Health,NAI / NAII - 2 South Medical- Surgical/Telemetry,Entry level,"Fayetteville, NC",28301,Full-time,,1711552194000
11-3031,Nile,Corporate Controller,,"San Jose, CA",95101,Full-time,280000,1713462527000
43-3051,Tuscaloosa City Schools,Payroll Bookkeeper,,"Tuscaloosa, AL",35401,Full-time,,1712858174000
11-2022,Ainsley Reid International Limited,Recruitment business development VP,,United States,,Full-time,,1713534227000
49-9071,US Farathane,Maintenance Technician,,"Kansas City, MO",64101,Full-time,,1713394382000
29-1124,"Precision Weld Testing & Training, LLC/Precision Inspection Services, LLC",Level II Technicians and Assistants (preferably with radiation safety),,"Beaumont, TX",77701,Full-time,,1712861572000
21-1014,Duality Psychological Services,Mental Health Therapist,,"Los Angeles, CA",90001,Full-time,150,1712370596000
13-1199,Bravo Research Group inc.,Security Professional,,"Los Angeles, CA",90001,Contract,45,1713210316000
41-4011,Confidential,Medical Equipment Outside Sales Representative ,Entry level,"Columbia, SC",29201,Full-time,65000,1712636853000
13-2051,"Smith & Associates, LLC.",EV/Cash Flow Analyst,,"Grand Rapids, MI",49503,Contract,80,1713455441000
11-2021,Explorer Chick Adventure Co.,Digital Marketing Manager,,United States,,Full-time,75000,1711895294000
35-9031,Lovely Bride,Front of House,,New York City Metropolitan Area,,Full-time,,1712437040000
27-1021,Thurgood Industries,Lead Product Designer,,"Austin, TX",78701,Full-time,,1713279271000
13-1051,"Knapp Engineering, Inc.",Project Estimator,,"Prospect, CT",06712,Full-time,,1713536225000
11-9199,Revi ,Partner Success Manager- Bilingual Spanish Speaker,,San Francisco Bay Area,,Full-time,,1713464409000
25-9042,"ChanceLight Behavioral Health, Therapy, & Education",Instructional Aide,Entry level,"Columbus, GA",31901,Full-time,,1711584000000
11-1011,NovaByte,Chief Revenue Officer,,United States,,Full-time,,1712443055000
15-1243,Diverse Lynx,Informatica MDM,,"Southlake, TX",76092,Full-time,,1713534146000
41-3021,,Licensed Property & Casualty Insurance Agent,,"Franklin, TN",37064,Full-time,,1712857665000
11-2021,Bent Pixels,Integrated Marketing Manager,,"Culver City, CA",90230,Full-time,120000,1713213597000
15-2051,Environ Energy,Business Development Specialist,,United States,,Full-time,65000,1711988714000
13-2031,Chesapeake Bay Foundation,Education Budget Manager ,Associate,"Annapolis, MD",21401,Full-time,61000,1712667990000
17-2051,PTAC Engineering,Precast Design Engineer,,"Pensacola, FL",32501,Full-time,,1713208845000
11-1021,LM Restaurant Group,General Manager,,"Evanston, IL",60201,Full-time,85000,1713458545000
23-1011,"Gulfcoast Legal Services, Inc",Staff Attorney - Housing,,"Bradenton, FL",34201,Full-time,,1712856032000
49-9071,Advantage Technical,Maintenance Engineering specialist,,"Houston, TX",77002,Full-time,,1712366622000
11-3031,Stiles CFO Services,Part-Time CFO/Controller,,Greater Philadelphia,,Part-time,75,1712368408000
15-1232,Kaizen Technologies,Help Desk Support,,"Golden, CO",80401,Contract,,1713539168000
15-1299,Diverse Lynx,M365 Architect,,"Edison, NJ",08817,Full-time,,1713539485000
21-1022,Harmony Healthcare Inc.,Medical Case Manager,,"Orlando, FL",32801,Full-time,60000,1713448669000
11-2022,"HMP Properties, LLC",Director of Sales,,"Fredericksburg, VA",22401,Full-time,,1712863728000
13-2011,SQAIRZ,Financial Accounting Specialist,,"Salem, NH",03079,Full-time,,1713554646000
15-1299,VDart,Hiring for the role of Azure Cloud Engineer,,"Hartford, CT",06101,Contract,,1713533551000
35-1012,Pollo Campero,Restaurant Shift Supervisor,,"Houston, TX",77002,Full-time,,1713550622000
39-2021,Cheyenne Animal Shelter,Shelter Team Member with emphasis in Customer Care,,"Cheyenne, WY",82001,Full-time,,1713213180000
17-2051,SSC Inc,Resident Engineer,,San Francisco Bay Area,,Full-time,190000,1713209849000
11-9199,Decrypt Compliance,Technology Trust & Compliance Professional,,United States,,Full-time,250000,1713394768000
15-1252,"iBrain Technologies, Inc",Sr Software Engineer,,United States,,Full-time,,1712127868000
15-1241,Quoherent,Radio Frequency Engineer,,"Winston-Salem, NC",27101,Full-time,,1713474397000
43-4171,"Kisling, Nestico & Redick, LLC (KNR)",Receptionist,Entry level,"Columbus, OH",43085,Full-time,,1711983553000
17-2061,Sun Technologies,Hardware Design Engineer,,"Hillsboro, OR",97123,Contract,,1713394456000
13-2011,Weiss Construction,Accountant,,"Novi, MI",48374,Full-time,,1713538373000
15-1253,Vendor Build Inc,Software Development Engineer in Test,,"North Creek, WA",,Contract,,1713550531000
43-9021,Acro Service Corp,Data Entry Specialist,Entry level,"Phoenix, AZ",85003,Full-time,16,1713213746000
15-1299,Enterprise Solutions Inc.,Geographic Information System Specialist,,"Goodyear, AZ",85338,Contract,,1713453601000
15-1232,Siri InfoSolutions Inc,Desktop Support Technician,,"Aurora, CO",80010,Contract,,1712858090000
13-1051,Your Home Expert,Remodeling/Insurance Estimator,,Dallas-Fort Worth Metroplex,,Full-time,85000,1713536624000
15-1299,Vision InfoTech Inc.,service now architect,,"Richardson, TX",75080,Contract,,1713478491000
13-1121,National Association of Manufacturers - NAM,"Manager, Conference Operations",Mid-Senior level,"Washington, DC",20001,Full-time,,1713539655000
51-6093,Cabin Crafters Inc.,Upholsterer,,"South Hackensack, NJ",07606,Full-time,40,1713453310000
19-2041,"Wilkinson Ecological Design, Inc.",Director of Project Management (ecological restoration),,"Hanover, MA",02339,Full-time,,1713529653000
13-1082,LS Solutions,Engineering Project Manager / Project Manager,,"Madison, WI",53703,Full-time,,1712863976000
11-9199,Florida State University,Associate Compliance Officer and Director of International Affairs Compliance,,"Tallahassee, FL",32301,Full-time,,1713405531000
13-1161,Bullet Sponge Creative,Marketing Intern,,United States,,Internship,,1713211768000
43-4051,RadGov Inc.,Call Center Representative,,"Golden, CO",80401,Contract,,1713452511000
15-1252,Compunnel Inc.,M365 Power-Platform or SharePoint Online Developer,,"Boston, MA",02108,Contract,,1713388427000
31-9093,DevCare Solutions,Dialysis Technician,,"Orient, OH",43146,Contract,32,1713461870000
23-1011,Nova Ukraine,Senior Lawyer,,"California, United States",,Full-time,,1712905143000
19-2032,NextGen Battery Technologies,Battery R&D Scientist,,"Somerset, NJ",08873,Full-time,135200,1712864539000
11-2022,,Sales Director,,"Toms River, NJ",08753,Full-time,175000,1712893150000
29-1122,BUSY BODY PEDIATRIC THERAPY LLC,Pediatric Occupational Therapist,,"Marietta, GA",30008,Part-time,60,1713466521000
43-3031,Holland Partner Group,Accounts Payable Associate,,"Vancouver, WA",98660,Full-time,27,1713459080000
13-1161,Christianity Today,Marketing Specialist - Membership Growth & Retention,,United States,,Full-time,50000,1713457191000
15-1299,PSRTEK,Lead Documentum Consultant,,"Plano, TX",75023,Contract,,1713395277000
15-1299,Talentify.io,IT Project Manager (Remote Work Available),Mid-Senior level,United States,,Full-time,,1712102400000
13-1082,Rise Technical,Project Engineer,,"Houston, TX",77002,Full-time,125000,1712856217000
27-4032,happy productions,Content Creator/Videographer Role,,"New York, NY",10001,Full-time,,1713277591000
41-3091,CashmanCo,Account Executive,,"New York, NY",10001,Full-time,,1712156665000
17-2112,ANELLO,Product Validation Engineer (EVT/DVT)																								,Mid-Senior level,"Santa Clara, CA",95050,Full-time,,1712863921000
35-1012,Stasis Drilling Solutions,Service Supervisor,,"Bossier City, LA",71111,Full-time,,1713214816000
41-4012,,Wholesale Sales Assistant,,New York City Metropolitan Area,,Part-time,25,1713277132000
29-1123,,Physical Therapist,,"Owensboro, KY",42301,Full-time,120000,1713392358000
41-4012,rh contract,Salesperson,,Cincinnati Metropolitan Area,,Full-time,,1712864270000
13-2011,Madsen Electric,Construction Accountant,,"Tacoma, WA",98402,Full-time,100000,1712882148000
11-2022,"Encon Safety Products, Inc.",Regional Sales Manager,,"Ohio, United States",,Full-time,,1713209581000
15-1242,Intellyk Inc.,MicroStrategy Administrator,,"Virginia City, NV",,Contract,,1713468438000
49-9064,Kerns Fine Jewelry,Watchmaker,,"San Francisco, CA",94101,Full-time,,1713457797000
11-9151,CMDS,Head of Client Services,,"Colts Neck, NJ",07722,Full-time,,1712349396000
11-9111,Managed Resources,Clinical Appeals Manager (RN),Associate,United States,,Full-time,,1712347209000
19-2021,Perry Weather,Operational Meteorologist,,"Dallas, TX",75201,Full-time,,1712346460000
15-1299,InRhythm,Technical Product Manager - Cloud,Mid-Senior level,"Palo Alto, CA",94301,Contract,,1712347920000
41-3021,,Personal Lines Account Executive,,"Grover Beach, CA",93433,Full-time,,1712349567000
11-3031,Department of Behavioral Health and Developmental Services,Financial Operations & Decision Support Manager,Mid-Senior level,"Staunton, VA",24401,Full-time,,1712344928000
17-2051,MKM & Associates Structural Engineering,Structural Design Engineer,,"Rohnert Park, CA",94928,Full-time,110000,1712345529000
29-1141,Department of Behavioral Health and Developmental Services,PRN Registered Nurse,Mid-Senior level,"Danville, VA",24540,Part-time,,1712344933000
11-1011,"myHR Partner, Inc.",Chief Operating Officer,,"Pennsylvania, United States",,Full-time,,1712345715000
49-3031,Exelon,ComEd - Maint Mech 0 Cert Fleet,,"Lombard, IL",60148,Full-time,,1712345202000
41-2031,George White Chevrolet,Sales and Leasing Consultant,,"Ames, IA",50010,Full-time,,1712345595000
11-2022,YETI,"Manager, Corporate Vertical Sales",Mid-Senior level,"Austin, TX",78701,Full-time,,1712345302000
15-1243,Publicis Sapient,Azure Data Engineer (Full time),Mid-Senior level,"Arlington, VA",22201,Full-time,145000,1712346379000
51-4191,SKF Group,Heat Treat Operator,Entry level,"Muskegon, MI",49440,Full-time,27.94,1712345468000
11-9051,Katz's Never Kloses,Restaurant Manager,,"Houston, TX",77002,Full-time,65000,1713457856000
19-1029,GigaGen Inc,Research Associate (Molecular Biology & Protein Expression),,"San Carlos, CA",94070,Full-time,85000,1712349486000
43-6014,Stavis Seafoods,Administrative Assistant,Entry level,"Boston, MA",02108,Full-time,,1712346107000
27-3041,Mogul Press,PR Editor and Proofreader,,United States,,Part-time,,1712346101000
11-3021,Element Energy,Dir / Sr Dir SaaS Development,,"Menlo Park, CA",94025,Full-time,,1712346836000
13-1023,Exelon,Procurement Specialist,Entry level,"Oakbrook Terrace, IL",60523,Full-time,,1712345202000
11-2021,YETI,Senior Brand Manager - Campaigns,Mid-Senior level,"Austin, TX",78701,Full-time,,1712345296000
17-2112,SKF Group,Quality Engineer,Entry level,"Lansdale, PA",19446,Full-time,,1712345457000
43-3051,SKF Group,Payroll & HRIS Administrator,Entry level,"Blue Bell, PA",19422,Full-time,,1712345458000
49-9071,SKF Group,Maintenance Tech 12A - 2nd Shift,Entry level,"Sumter, SC",29150,Full-time,,1712345465000
17-2112,SKF Group,Manufacturing Engineer,Entry level,"Dexter, MI",48130,Full-time,,1712345465000
13-2099,SKF Group,Accounts Receivable Analyst,Entry level,"Blue Bell, PA",19422,Full-time,,1712345465000
15-1232,SKF Group,Regional Technical Specialist,Entry level,"Cincinnati, OH",45202,Contract,,1712345466000
51-4033,SKF Group,Machining - Grinding Specialist,Mid-Senior level,"Muskegon, MI",49440,Full-time,,1712345465000
51-9161,SKF Group,CNC Machine Operator 3rd shift,Entry level,"Hanover, PA",17331,Full-time,,1712345468000
49-9071,SKF Group,Maintenance Technician,Entry level,"Ladson, SC",29456,Full-time,,1712345471000
13-1161,WorldLink US,Product Marketing Specialist,Associate,"Ridgefield, NJ",07657,Full-time,,1712345825000
15-2051,Advaana Inc,Digital Analyst (Google Analytics),,United States,,Full-time,,1712350881000
41-4012,Sunrun,Field Sales Consultant,,"Irvine, CA",92602,Full-time,300000,1712346019000
11-9151,GOOD SAMARITAN SHELTER,Homeless Shelter Manager- La Posada,,"Goleta, CA",93117,Full-time,,1712345725000
43-4051,,Sales and Customer Experience Specialist,,"Kearney, NE",68845,Full-time,67000,1712346129000
27-3031,ASSOULINE,Public Relations Intern,Internship,New York City Metropolitan Area,,Internship,,1712345864000
11-2033,Nevada Virtual Charter School,Federal Grant and Assessment Director,,"Las Vegas, NV",89101,Full-time,,1712345940000
51-4031,SKF Group,Machine Operator,Entry level,"Dexter, MI",48130,Full-time,,1712345453000
17-2141,SKF Group,Seal Product Design Engineer,Entry level,"Elgin, IL",60120,Full-time,,1712345465000
11-3051,SKF Group,Manufacturing Systems Coordinator,Entry level,"Sumter, SC",29150,Full-time,,1712345466000
11-3031,SKF Group,Assistant Controller,Mid-Senior level,"Winsted, CT",06098,Full-time,,1712345467000
15-1252,SKF Group,Application Engineer,Entry level,"Falconer, NY",14733,Full-time,101000,1712345468000
11-3051,SKF Group,Heat Treat Manager,Mid-Senior level,"Falconer, NY",14733,Full-time,,1712345468000
11-3071,SKF Group,Demand Planner,Mid-Senior level,"Lansdale, PA",19446,Full-time,,1712345478000
41-3091,OC Poolscapes,Pool Remodel Salesman,,"Santa Ana, CA",92701,Full-time,,1712346380000
11-3021,RITA Corporation,Information Technology Manager,,"Crystal Lake, IL",60012,Full-time,,1712351539000
19-4061,,Sociology Research & Writing Intern,,"Texas, United States",,Internship,,1712345673000
51-9161,SKF Group,CNC Machinist,Entry level,"Dexter, MI",48130,Full-time,,1712345463000
17-2112,SKF Group,Manufacturing Engineering Manager,Mid-Senior level,"St Louis, MO",63367,Full-time,,1712345464000
51-4031,SKF Group,CH 18 Machine Operator - 2nd Shift,Entry level,"Sumter, SC",29150,Full-time,,1712345464000
51-4031,MKT Fastening LLC,Machine Operator,,"Lonoke, AR",72086,Full-time,,1712345744000
41-4012,The Yurconic Agency,Commercial Lines Small Business Account Manager,Associate,"Allentown, PA",18101,Full-time,,1712345867000
11-3031,Jewish Federation of Cleveland,"Director, Finance Business Systems",Director,"Cleveland, OH",44102,Full-time,,1712345891000
41-3031,Northwestern Mutual - Portland,Financial Advisor (Sales Role-Training Provided),,"Portland, OR",97201,Full-time,150000,1712345919000
11-9021,Metropolitan Transportation Authority,Senior Construction Manager,Mid-Senior level,"New York, NY",10001,Other,,1712345824000
43-4161,California Department of Human Resources (CalHR),Human Resources Office Support Technician,Entry level,Greater Sacramento,,Full-time,4652,1712275200000
17-2081,Insight Global,Environmental Engineer,Associate,"Houston, TX",77002,Full-time,,1712345983000
13-2051,DISYS,Mutual Fund Financial Reporting Analyst,Associate,"Boston, MA",02108,Full-time,,1712345935000
11-2022,,Territory Sales Manager,Mid-Senior level,United States,,Full-time,,1712346473000
41-1011,Panda Restaurant Group,Store Manager,Entry level,"Milledgeville, GA",31061,Full-time,100000,1712345999000
11-2022,SolarEdge Technologies,Regional Sales Manager - Northwest,Mid-Senior level,"Portland, Oregon Metropolitan Area",,Full-time,115000,1712346107000
11-9121,Discovery Life Sciences,Senior Scientific Project Manager - Genomics,Mid-Senior level,"Huntsville, AL",35801,Full-time,,1712346137000
13-2072,NEXA Mortgage,Mortgage Loan Officer - Texas/Remote,,United States,,Full-time,,1712346445000
11-3031,Fracht Group - North America,Accounting Manager,,"Houston, TX",77002,Full-time,,1712346967000
13-1051,Aegis Worldwide,Estimation Engineer,Mid-Senior level,"Shelby Township, MI",49455,Full-time,120000,1712346409000
43-3021,Ledgent,Billing Specialist,Entry level,"Hartford County, CT",06101,Full-time,28,1712346231000
15-1252,"Computer Data Concepts, Inc",W2 only _ Java Developer,,"Columbus, Ohio Metropolitan Area",,Contract,,1712346518000
43-9061,Douglas Elliman Real Estate,Real Estate Office Assistant,,"Malibu, CA",90265,Part-time,,1712347058000
11-9032,Delta Construction,Superintendent,,"Phoenix, AZ",85003,Full-time,,1712346721000
27-3031,Council of Western State Foresters,Communications Intern,,"Colorado, United States",,Internship,,1712346569000
15-1212,Diverse Lynx,Cyber security /Report Developer ( W2 Role),,United States,,Contract,,1712346566000
41-3091,In-Flight Crew Connections,New Business Development Representative,Associate,"Charlotte, NC",28202,Full-time,,1712346711000
19-2031,Argonne National Laboratory,416550 - Postdoctoral Appointee - CSE - Heavy Element Chemistry and Separation Science Group,,"Lemont, IL",60439,Full-time,,1712346551000
29-1141,Providence Health & Services,RN - Pre-op and PACU 0.9 FTE Day,Mid-Senior level,"Seaside, OR",97138,Full-time,69.01,1712346551000
11-2022,,Area Sales Manager,,United States,,Part-time,,1712346762000
41-3091,CCS Construction Staffing,Account Executive,Entry level,"Virginia Beach, VA",23451,Full-time,,1712346667000
23-1012,Castle Law,Summer Law Clerk,,"Joliet, IL",60431,Full-time,,1712346922000
31-9092,Maricopa County,Refugee Medical Assistant,Entry level,"Phoenix, AZ",85003,Full-time,27,1712346706000
13-1023,Maricopa County,Procurement Specialist,Entry level,"Phoenix, AZ",85003,Full-time,32,1712346712000
13-1082,Clark County School District,"2024-2025 Project Facilitator, Special Education",Mid-Senior level,"Las Vegas, NV",89101,Full-time,,1712346804000
13-1111,Infotree Global Solutions,Senior Business Analyst (Pharma/Biotech/Scientific),Mid-Senior level,"Cambridge, MA",02138,Contract,,1712346893000
11-2022,Birlasoft,SAP Partner - Account Management,Director,"Houston, TX",77002,Full-time,,1712346945000
13-1081,KNAPP North America,Logistics Operations Engineer,Entry level,"Joliet, IL",60431,Full-time,,1712275200000
23-1011,Robert Half,Employment & HR Litigation Attorney,Mid-Senior level,"Chicago, IL",60601,Full-time,,1712346911000
11-1021,AMN Healthcare Leadership Solutions,Interim DON,Mid-Senior level,"Valentine, NE",69201,Temporary,,1712346967000
23-2011,Federal Bureau of Prisons - Career Connections,Legal Assistant (Legal Access Officer),Entry level,"Philadelphia, PA",19102,Full-time,,1712347060000
